l,lgramSize,criteria_id,text_id,h0,h1,fp,fn,threshold,j
10000,2,c13bi,vig1,9,361,0.35945945945945945,0.024324324324324326,0,0
10000,2,c30bi,vig1,285,85,0.22972972972972974,0.7702702702702703,0.1,0
10,1,c10sy,vig5,1878,8122,0.1893,0.1878,0,0
10,1,c11sy,vig5,8894,1106,0.0009,0.8894,3,0
10,1,c12sy,vig5,1878,8122,0.1893,0.1878,0,0
10,1,c13sy,vig5,1878,8122,0.1893,0.1878,0,0
10,1,c30sy,vig5,0,10000,1,0,0.5,0
10,1,c51sy,vig5,10000,0,0,1,6,3
10,2,c10bi,vig5,3543,6457,0.0015,0.3543,0,0
10,2,c11bi,vig5,7364,2636,0,0.7364,2,0
10,2,c12bi,vig5,3543,6457,0.0015,0.3543,0,0
10,2,c13bi,vig5,3543,6457,0.0015,0.3543,0,0
10,2,c30bi,vig5,9998,2,0.0005,0.9998,3,0
10,2,c51bi,vig5,10000,0,0,1,10,5
100,1,c10sy,vig5,0,10000,0.881,0,0,0
100,1,c11sy,vig5,10000,0,0,1,18,0
100,1,c12sy,vig5,0,10000,0.881,0,0,0
100,1,c13sy,vig5,1,9999,0.4005,0.0001,0,0
100,1,c30sy,vig5,9998,2,0.181,0.9998,0.35,0
100,1,c51sy,vig5,9972,28,0,0.9972,4,10
100,2,c10bi,vig5,0,10000,0.016,0,0,0
100,2,c11bi,vig5,9752,248,0,0.9752,17,0
100,2,c12bi,vig5,0,10000,0.016,0,0,0
100,2,c13bi,vig5,0,10000,0.016,0,0,0
100,2,c30bi,vig5,0,10000,1,0,0.55,0
100,2,c51bi,vig5,10000,0,0,1,25,20
1000,1,c10sy,vig5,0,10000,1,0,0,0
1000,1,c11sy,vig5,10000,0,0,1,120,0
1000,1,c12sy,vig5,0,10000,0.9158,0,0,0
1000,1,c13sy,vig5,0,10000,0.5303,0,0,0
1000,1,c30sy,vig5,8,9992,0.0027,0.0008,0.15,0
1000,1,c51sy,vig5,10000,0,0,1,8,20
1000,2,c10bi,vig5,0,10000,0.1671,0,0,0
1000,2,c11bi,vig5,10000,0,0,1,119,0
10000,2,c51bi,vig1,14,356,0,0.03783783783783784,60,500
1000,2,c12bi,vig5,0,10000,0.1671,0,0,0
1000,2,c13bi,vig5,0,10000,0.1671,0,0,0
1000,2,c30bi,vig5,9970,30,0.9879,0.997,0.22,0
1000,2,c51bi,vig5,2,9998,0.0241,0.0002,30,200
10000,1,c10sy,vig5,0,370,1,0,0,0
10000,1,c11sy,vig5,370,0,0,1,800,0
10000,1,c12sy,vig5,0,370,0.8648648648648649,0,0,0
10000,1,c13sy,vig5,0,370,0.27837837837837837,0,0,0
10000,1,c30sy,vig5,0,370,0.010810810810810811,0,0.07,0
10000,1,c51sy,vig5,370,0,0,1,12,30
10000,2,c10bi,vig5,0,370,0.6702702702702703,0,0,0
10000,2,c11bi,vig5,370,0,0,1,799,0
10000,2,c12bi,vig5,0,370,0.6702702702702703,0,0,0
10000,2,c13bi,vig5,0,370,0.35945945945945945,0,0,0
10000,2,c30bi,vig5,0,370,0.22972972972972974,0,0.1,0
10000,2,c51bi,vig5,364,6,0,0.9837837837837838,60,500
10,1,c10sy,vig10,1818,8182,0.1893,0.1818,0,0
10,1,c11sy,vig10,8816,1184,0.0009,0.8816,3,0
10,1,c12sy,vig10,1818,8182,0.1893,0.1818,0,0
10,1,c13sy,vig10,1818,8182,0.1893,0.1818,0,0
10,1,c30sy,vig10,0,10000,1,0,0.5,0
10,1,c51sy,vig10,10000,0,0,1,6,3
10,2,c10bi,vig10,3572,6428,0.0015,0.3572,0,0
10,2,c11bi,vig10,7414,2586,0,0.7414,2,0
10,2,c12bi,vig10,3572,6428,0.0015,0.3572,0,0
10,2,c13bi,vig10,3572,6428,0.0015,0.3572,0,0
10,2,c30bi,vig10,10000,0,0.0005,1,3,0
10,2,c51bi,vig10,10000,0,0,1,10,5
100,1,c10sy,vig10,0,10000,0.881,0,0,0
100,1,c11sy,vig10,10000,0,0,1,18,0
100,1,c12sy,vig10,0,10000,0.881,0,0,0
100,1,c13sy,vig10,1,9999,0.4005,0.0001,0,0
100,1,c30sy,vig10,10000,0,0.181,1,0.35,0
100,1,c51sy,vig10,9991,9,0,0.9991,4,10
100,2,c10bi,vig10,0,10000,0.016,0,0,0
100,2,c11bi,vig10,9751,249,0,0.9751,17,0
100,2,c12bi,vig10,0,10000,0.016,0,0,0
100,2,c13bi,vig10,0,10000,0.016,0,0,0
100,2,c30bi,vig10,0,10000,1,0,0.55,0
100,2,c51bi,vig10,10000,0,0,1,25,20
1000,1,c10sy,vig10,0,10000,1,0,0,0
1000,1,c11sy,vig10,10000,0,0,1,120,0
1000,1,c12sy,vig10,0,10000,0.9158,0,0,0
1000,1,c13sy,vig10,0,10000,0.5303,0,0,0
1000,1,c30sy,vig10,0,10000,0.0027,0,0.15,0
1000,1,c51sy,vig10,10000,0,0,1,8,20
1000,2,c10bi,vig10,0,10000,0.1671,0,0,0
1000,2,c11bi,vig10,10000,0,0,1,119,0
1000,2,c12bi,vig10,0,10000,0.1671,0,0,0
1000,2,c13bi,vig10,0,10000,0.1671,0,0,0
1000,2,c30bi,vig10,1840,8160,0.9879,0.184,0.22,0
1000,2,c51bi,vig10,0,10000,0.0241,0,30,200
10000,1,c10sy,vig10,0,370,1,0,0,0
10000,1,c11sy,vig10,370,0,0,1,800,0
10000,1,c12sy,vig10,0,370,0.8648648648648649,0,0,0
10000,1,c13sy,vig10,0,370,0.27837837837837837,0,0,0
10000,1,c30sy,vig10,0,370,0.010810810810810811,0,0.07,0
10000,1,c51sy,vig10,370,0,0,1,12,30
10000,2,c10bi,vig10,0,370,0.6702702702702703,0,0,0
10000,2,c11bi,vig10,370,0,0,1,799,0
10000,2,c12bi,vig10,0,370,0.6702702702702703,0,0,0
